51	17945	27159	386	17345	27504	20815	20576	10960	6020	5261	28277	24162	930	11002	
19737	17913	1682	10319	10474	1102	28279	16179	21197	11333	12790	15811	2607	16929	15514	
14450	19601	23796	23159	22291	15939	31834	1806	30772	4207	26215	9073	7854	2138	8670	
22440	23930	3047	24740	9042	13766	22365	28276	24975	6984	16489	30675	17438	4819	10855	
15687	2499	7976	4061	1732	29676	28686	17736	27495	16275	1957	22812	16743	9574	18935	
13574	19016	9510	10960	25716	28497	8269	28112	9303	8769	2035	11454	8231	13886	8690	
6175	40	17678	10569	9735	11501	29833	19902	9008	27674	12366	22216	23113	14958	11190	
28075	17808	1792	16390	21221	32419	13256	31465	713	24723	32610	28957	3434	4155	15375	
10604	9658	24272	30717	13278	11251	15033	31432	16685	14134	8864	15424	20089	25202	20169	
14445	14653	24712	1186	17616	20354	7085	18588	19180	12370	25615	25146	3077	4208	29115	
26215	21032	14150	15806	15373	12907	18463	30346	20195	17526	11158	5020	25735	29506	11598	
19548	18380	19233	8676	30277	15957	26879	10530	3653	31843	28391	24694	29031	2795	8649	
6562	2223	21484	5242	27060	27717	18687	1020	9273	16855	22576	18688	5806	23096	8972	
681	6199	21069	11259	24211	16788	15145	28112	8724	24912	3447	4511	22721	59	27672	
14030	19508	2587	31246	367	10509	28319	18329	25293	30007	20116	6815	20549	15213	2395	
5713	23640	4092	16027	1548	26110	21194	6195	20349	21052	21143	28787	20489	1016	13699	
10379	10604	1549	19152	17219	16800	7067	10730	6125	31232	10912	17060	12696	25005	13517	
17093	11911	26417	21138	29891	13282	19810	25724	31694	18858	26505	28352	4368	13042	24772	
21272	9780	5709	4777	23757	4389	2691	12076	21269	9496	23432	16835	1440	23756	7086	
19400	1902	31248	21785	30	3043	16007	28531	25111	6685	8616	7650	19349	2693	10248	
26935	7792	676	16348	10857	9496	25401	18105	2369	26236	23688	7327	21334	28970	7412	
26678	16188	25015	19920	28759	28665	10337	21107	11982	19640	20979	32138	95	194	22505	
